Sign,ID,Avatar,Character,Emotion,Text,GoTo,Effect,Target
#,0,mc,(Username),neutral,早上好，乔治。你辛苦了。,1,,
#,1,mc,(Username),neutral,我把小艾美丽带来了，不知道我们的病人现在怎么样了？,2,,
#,2,George,乔治·鲁格斯,smile,"嘿，早上好啊，我亲爱的(username), 还有可爱的艾美丽。",3,,
#,3,Emily,艾美丽,smile,(哔嘟）（开心的表情）,4,,
#,4,George,乔治·鲁格斯,neutral,安德鲁的情况我一直都在观察，最近的确有些变化。,5,,
&,5,mc,(Username),,我明白了，能告诉我一些详细情况吗？,7,,
&,6,mc,(Username),,干得好，乔治。,7,好感度加@1,乔治·鲁格斯
#,7,George,乔治·鲁格斯,neutral,啊，你知道的，他的情况一直都挺悬的。,8,,
#,8,George,乔治·鲁格斯,neutral,有时候好，有时候不太好。就像每天早上起床一样，总是不确定今天是会是怎样的一天。,9,,
#,9,Emily,艾美丽,neutral,艾美丽怀疑您在暗指自己的情况。,10,,
#,10,George,乔治·鲁格斯,ehe,（停顿）诶嘿。,11,,
#,11,Emily,艾美丽,neutral,……,12,,
#,12,George,乔治·鲁格斯,neutral,但是说真的，安德鲁的情况确实令人担忧。,13,,
#,13,George,乔治·鲁格斯,neutral,我会尽力做好观察工作的。,14,,
&,14,mc,(Username),,很好，我们得尽快去看看他，了解一下具体情况。,16,好感度加@1,艾美丽
&,15,mc,(Username),,哈哈，不然乔治你努力些，这样我们就不用操心了。,17,,
#,16,Emily,艾美丽,smile,艾美丽赞同(username)。,17,,
#,17,Emily,艾美丽,neutral,二位可以通过与安德鲁先生交谈并进行一些测试来评估他的状况。,18,,
#,18,Emily,艾美丽,neutral,同时，艾美丽可以分析监测数据，看看是否有什么不寻常的模式或趋势。,19,,
#,19,mc,(Username),neutral,不错，或许根据交谈我们还可以寻找一些办法。,20,,
#,20,George,乔治·鲁格斯,smile,听起来真是天衣无缝的办法。,21,,
#,21,George,乔治·鲁格斯,neutral,但我必须提醒，安德鲁的情况或许没有两位想得特别的……乐观。,22,,
#,22,George,乔治·鲁格斯,neutral,就像我说的，挺悬的，时好时坏。,23,,
#,23,George,乔治·鲁格斯,neutral,或许上一秒我们聊得好好的，下一秒就得重新进行自我介绍。,24,,
#,24,mc,(Username),neutral,……,25,,
#,25,Emily,艾美丽,neutral,根据您之前的说法，甚至开玩笑的语气来看，可不是这么严重的情况。,26,,
#,26,George,乔治·鲁格斯,smile,我的错，小艾美丽。,27,,
&,27,mc,(Username),,好了，你们两个别闹了。,28,,
&,28,mc,(Username),,我们该去安德鲁的病房了。,29,,
#,29,George,乔治·鲁格斯,smile,遵命，亲爱的。我们先去前台拿病历本和房门钥匙吧。,30,,
#,30,George,乔治·鲁格斯,neutral,为了不让安德鲁突然消失，我们决定将病房门和窗户都上锁了。,31,,
#,31,Emily,艾美丽,neutral,更正：人类无法凭空消失，建议改为失踪。,32,,
#,32,George,乔治·鲁格斯,neutral,……小艾美丽你真是越来越不可爱了呢。,33,,
#,33,George,乔治·鲁格斯,neutral,总之，我们先去前台拿病历本和房门钥匙吧。,34,,
END,34,,,,,,,
